generationMode,facesDetected,facesBlurred,objectsDetected,tokensScrubbedFromTranscript,rawDataTransmitted,pipelineLatencyMs,faceDetectMs,blurMs,yoloMs,sceneClassifyMs,sttMs,piiScrubMs,timestamp
debug,0,0,5,0,false,287.3539924621582,90.83998203277588,60.559988021850586,17.98701286315918,0.0,0.0,0.0,798345911.557894
cloud,0,0,4,0,false,227.4559736251831,7.236027717590332,4.824018478393555,210.71600914001465,210.71600914001465,210.77299118041992,0.0029802322387695312,798345915.48981
debug,0,0,6,0,false,52.77097225189209,7.9914093017578125,5.327606201171875,12.379050254821777,0.0,0.0,0.0,798346044.976605
cloud,0,0,5,0,false,43.46203804016113,5.331587791442871,3.554391860961914,29.399991035461426,29.399991035461426,29.394030570983887,0.0010728836059570312,798346047.50738
debug,0,0,2,0,false,99.48599338531494,39.87236022949219,26.581573486328125,16.5940523147583,0.0,0.0,0.0,798346320.839169
cloud,0,0,1,0,false,55.873990058898926,5.191183090209961,3.4607887268066406,43.557047843933105,43.557047843933105,43.55299472808838,0.0010728836059570312,798346328.332846
debug,1,1,2,0,false,726.6420125961304,123.52795600891113,82.35197067260742,301.74803733825684,0.0,0.0,0.0,798346619.013582
debug,1,1,2,0,false,164.4679307937622,13.000774383544922,8.667182922363281,22.42100238800049,0.0,0.0,0.0,798346630.372583
cloud,1,1,1,0,false,232.05697536468506,36.6635799407959,24.442386627197266,166.91303253173828,166.91303253173828,166.89908504486084,0.0019073486328125,798346636.235541
debug,0,0,2,0,false,43.868064880371094,9.061789512634277,6.041193008422852,15.933990478515625,0.0,0.0,0.0,798346998.583234
debug,0,0,2,0,false,45.22204399108887,7.768821716308594,5.1792144775390625,13.960957527160645,0.0,0.0,0.0,798347003.689837
debug,0,0,2,0,false,48.44498634338379,8.756375312805176,5.837583541870117,14.275074005126953,0.0,0.0,0.0,798347008.77547
debug,0,0,3,0,false,48.75504970550537,9.0911865234375,6.060791015625,14.580965042114258,0.0,0.0,0.0,798347015.908082
debug,0,0,3,0,false,50.30703544616699,11.166000366210938,7.444000244140625,13.589024543762207,0.0,0.0,0.0,798347023.629406
cloud,0,0,2,0,false,72.75402545928955,8.358621597290039,5.572414398193359,53.93791198730469,53.93791198730469,53.930044174194336,0.0020265579223632812,798347039.927554
